compound: 0.7887, neg: 0.11, neu: 0.682, pos: 0.207, 
compound: 0.4926, neg: 0.0, neu: 0.814, pos: 0.186, 
compound: 0.8841, neg: 0.0, neu: 0.726, pos: 0.274, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.34, neg: 0.07, neu: 0.93, pos: 0.0, 
compound: 0.2263, neg: 0.063, neu: 0.846, pos: 0.091, 
compound: 0.6369, neg: 0.0, neu: 0.488, pos: 0.512, 
compound: 0.6124, neg: 0.0, neu: 0.773, pos: 0.227, 
compound: 0.9284, neg: 0.0, neu: 0.758, pos: 0.242, 
compound: 0.2023, neg: 0.0, neu: 0.95, pos: 0.05, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4404, neg: 0.0, neu: 0.805, pos: 0.195, 
compound: 0.501, neg: 0.0, neu: 0.8, pos: 0.2, 
compound: -0.3182, neg: 0.277, neu: 0.723, pos: 0.0, 
compound: -0.34, neg: 0.09, neu: 0.867, pos: 0.043, 
compound: 0.8374, neg: 0.0, neu: 0.81, pos: 0.19, 
compound: -0.8821, neg: 0.266, neu: 0.623, pos: 0.11, 
compound: -0.6597, neg: 0.416, neu: 0.584, pos: 0.0, 
compound: 0.5008, neg: 0.09, neu: 0.766, pos: 0.144, 
compound: 0.9646, neg: 0.0, neu: 0.621, pos: 0.379, 
compound: 0.3309, neg: 0.142, neu: 0.668, pos: 0.19, 
compound: 0.802, neg: 0.073, neu: 0.695, pos: 0.232, 
compound: 0.8972, neg: 0.0, neu: 0.773, pos: 0.227, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.5859, neg: 0.0, neu: 0.789, pos: 0.211, 
compound: 0.7577, neg: 0.0, neu: 0.824, pos: 0.176, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.2057, neg: 0.122, neu: 0.878, pos: 0.0, 
compound: 0.1217, neg: 0.243, neu: 0.493, pos: 0.264, 
compound: 0.6062, neg: 0.0, neu: 0.809, pos: 0.191, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4215, neg: 0.0, neu: 0.897, pos: 0.103, 
compound: 0.2584, neg: 0.0, neu: 0.903, pos: 0.097, 
compound: 0.8906, neg: 0.0, neu: 0.762, pos: 0.238, 
compound: -0.6597, neg: 0.265, neu: 0.735, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.3612, neg: 0.0, neu: 0.857, pos: 0.143, 
compound: 0.8591, neg: 0.0, neu: 0.765, pos: 0.235, 
compound: 0.6908, neg: 0.044, neu: 0.822, pos: 0.134, 
compound: 0.2805, neg: 0.04, neu: 0.891, pos: 0.069, 
compound: 0.9199, neg: 0.0, neu: 0.749, pos: 0.251, 
compound: 0.2732, neg: 0.115, neu: 0.751, pos: 0.134, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.128, neg: 0.114, neu: 0.746, pos: 0.139, 
compound: 0.9134, neg: 0.0, neu: 0.75, pos: 0.25, 
compound: 0.7088, neg: 0.0, neu: 0.856, pos: 0.144, 
compound: 0.8999, neg: 0.0, neu: 0.637, pos: 0.363, 
compound: 0.7256, neg: 0.0, neu: 0.747, pos: 0.253, 
compound: 0.9078, neg: 0.0, neu: 0.718, pos: 0.282, 
